State	County	City	City Type	 Population 	 electricity (kWh) 	 Nat. Gas (cu.ft.) 	 FUELOIL (gallons) 	 Vehicle miles traveled 	 Transport (tCO2e/yr) 	 Housing (tCO2e/yr) 	 Food (tCO2e/yr) 	Goods (tCO2e/yr)	Services (tCO2e/yr)	Total Household Carbon Footprint (tCO2e/yr)	 Households 	 Total City Carbon Footprint (tCO2e/yr) 								
NY	QUEENS	JAMAICA	 medium 	" 216,876 "	" 6,773 "	" 51,654 "	 175 	" 11,312 "	 8 	 10 	 9 	 5 	 6 	 39 	" 74,802 "	" 2,891,824 "								
RI	PROVIDENCE	PROVIDENCE	 medium 	" 201,736 "	" 6,569 "	" 54,887 "	 214 	" 14,951 "	 10 	 12 	 8 	 4 	 5 	 39 	" 80,735 "	" 3,122,231 "								
MA	ESSEX	LAWRENCE	 medium 	" 71,959 "	" 6,783 "	" 60,964 "	 101 	" 14,994 "	 10 	 11 	 9 	 4 	 5 	 39 	" 25,570 "	" 990,222 "								
CA	ALAMEDA	BERKELEY	 medium 	" 109,917 "	" 5,678 "	" 40,282 "	 1 	" 16,764 "	 12 	 7 	 7 	 6 	 7 	 39 	" 50,044 "	" 1,938,293 "								
SC	HORRY	MYRTLE BEACH	 medium 	" 80,508 "	" 10,047 "	" 22,655 "	 4 	" 16,381 "	 12 	 10 	 7 	 5 	 5 	 39 	" 55,132 "	" 2,143,010 "								
CA	ALAMEDA	OAKLAND	 medium 	" 390,827 "	" 5,602 "	" 40,139 "	 1 	" 17,403 "	 12 	 7 	 8 	 5 	 6 	 39 	" 153,069 "	" 5,975,632 "								
FL	ALACHUA	GAINESVILLE	 medium 	" 177,729 "	" 10,019 "	" 17,507 "	 10 	" 18,093 "	 12 	 10 	 7 	 4 	 5 	 39 	" 78,021 "	" 3,047,281 "								
FL	SAINT LUCIE	FORT PIERCE	 medium 	" 84,752 "	" 10,407 "	" 14,688 "	 4 	" 17,779 "	 12 	 10 	 8 	 4 	 5 	 39 	" 40,280 "	" 1,584,536 "								
CA	LOS ANGELES	SAN PEDRO	 medium 	" 79,886 "	" 6,037 "	" 30,511 "	 -   	" 19,423 "	 14 	 7 	 8 	 5 	 6 	 39 	" 32,021 "	" 1,259,714 "								
VA	RICHMOND CITY	RICHMOND	 medium 	" 186,897 "	" 10,150 "	" 44,162 "	 132 	" 15,130 "	 11 	 13 	 7 	 4 	 5 	 39 	" 220,886 "	" 8,710,483 "								
CA	LOS ANGELES	GLENDALE	 medium 	" 176,851 "	" 6,021 "	" 30,340 "	 0 	" 19,798 "	 14 	 7 	 8 	 5 	 6 	 39 	" 67,000 "	" 2,643,318 "								
CA	LOS ANGELES	ALHAMBRA	 medium 	" 85,010 "	" 5,981 "	" 31,222 "	 -   	" 19,423 "	 13 	 7 	 9 	 5 	 6 	 39 	" 30,054 "	" 1,186,076 "								
FL	SARASOTA	VENICE	 medium 	" 56,232 "	" 10,710 "	" 13,095 "	 5 	" 17,458 "	 12 	 11 	 6 	 5 	 6 	 39 	" 34,766 "	" 1,373,144 "								
FL	PASCO	NEW PORT RICHEY	 medium 	" 96,547 "	" 10,361 "	" 13,576 "	 2 	" 18,661 "	 13 	 10 	 7 	 5 	 5 	 40 	" 48,544 "	" 1,919,756 "								
CA	LOS ANGELES	GARDENA	 medium 	" 84,118 "	" 6,027 "	" 31,622 "	 -   	" 19,259 "	 13 	 7 	 9 	 5 	 6 	 40 	" 29,258 "	" 1,158,107 "								
CA	LOS ANGELES	WILMINGTON	 medium 	" 53,308 "	" 5,776 "	" 29,215 "	 -   	" 18,356 "	 12 	 6 	 11 	 5 	 5 	 40 	" 14,583 "	" 577,254 "								
NC	PITT	GREENVILLE	 medium 	" 88,564 "	" 10,255 "	" 29,383 "	 22 	" 17,857 "	 12 	 11 	 7 	 4 	 5 	 40 	" 39,146 "	" 1,549,919 "								
