State	County	City	City Type	 Population 	 electricity (kWh) 	 Nat. Gas (cu.ft.) 	 FUELOIL (gallons) 	 Vehicle miles traveled 	 Transport (tCO2e/yr) 	 Housing (tCO2e/yr) 	 Food (tCO2e/yr) 	Goods (tCO2e/yr)	Services (tCO2e/yr)	Total Household Carbon Footprint (tCO2e/yr)	 Households 	 Total City Carbon Footprint (tCO2e/yr) 								
OH	CHAMPAIGN	MECHANICSBURG	 small 	" 5,285 "	" 11,603 "	" 35,151 "	 96 	" 29,144 "	 20 	 16 	 8 	 5 	 6 	 55 	" 2,117 "	" 116,216 "								
IL	BUREAU	LADD	 small 	" 1,322 "	" 13,260 "	" 78,372 "	 1 	" 23,748 "	 16 	 21 	 7 	 5 	 6 	 55 	 589 	" 32,334 "								
AR	SEVIER	BEN LOMOND	 small 	 108 	" 19,309 "	" 47,591 "	 -   	" 32,123 "	 21 	 17 	 7 	 5 	 5 	 55 	 57 	" 3,129 "								
LA	CADDO	GREENWOOD	 small 	" 2,594 "	" 14,758 "	" 31,339 "	 3 	" 27,644 "	 19 	 18 	 8 	 5 	 6 	 55 	" 1,095 "	" 60,114 "								
IN	PULASKI	STAR CITY	 small 	" 1,584 "	" 12,442 "	" 39,470 "	 17 	" 30,195 "	 20 	 16 	 8 	 5 	 5 	 55 	 701 	" 38,485 "								
TX	MCLENNAN	MOODY	 small 	" 3,232 "	" 12,660 "	" 25,375 "	 7 	" 34,731 "	 23 	 13 	 8 	 5 	 6 	 55 	" 1,298 "	" 71,262 "								
IA	MUSCATINE	CONESVILLE	 small 	 781 	" 11,873 "	" 47,096 "	 -   	" 28,126 "	 19 	 17 	 9 	 5 	 6 	 55 	 313 	" 17,184 "								
IN	MARSHALL	PLYMOUTH	 small 	" 22,188 "	" 12,933 "	" 60,207 "	 8 	" 26,930 "	 18 	 18 	 8 	 5 	 6 	 55 	" 8,731 "	" 479,348 "								
OH	WAYNE	APPLE CREEK	 small 	" 7,607 "	" 13,692 "	" 51,143 "	 56 	" 21,528 "	 15 	 19 	 11 	 5 	 6 	 55 	" 2,148 "	" 117,933 "								
GA	WALTON	GOOD HOPE	 small 	" 1,222 "	" 13,144 "	" 26,887 "	 5 	" 32,306 "	 21 	 14 	 8 	 5 	 6 	 55 	 491 	" 26,958 "								
ME	PENOBSCOT	LEVANT	 small 	" 2,158 "	" 7,586 "	" 21,112 "	 673 	" 30,190 "	 20 	 16 	 8 	 5 	 6 	 55 	 824 	" 45,242 "								
OH	AUGLAIZE	LIMA	 small 	" 11,030 "	" 11,946 "	" 53,815 "	 22 	" 27,335 "	 19 	 17 	 8 	 5 	 6 	 55 	" 37,176 "	" 2,041,160 "								
MI	OCEANA	NEW ERA	 small 	" 2,294 "	" 11,360 "	" 36,113 "	 72 	" 27,164 "	 18 	 17 	 8 	 5 	 6 	 55 	" 1,039 "	" 57,047 "								
IA	WOODBURY	SLOAN	 small 	" 1,375 "	" 12,234 "	" 52,665 "	 9 	" 29,115 "	 19 	 18 	 7 	 5 	 6 	 55 	 591 	" 32,449 "								
MI	GRAND TRAVERSE	WILLIAMSBURG	 small 	" 6,682 "	" 11,455 "	" 49,842 "	 64 	" 25,463 "	 18 	 18 	 8 	 6 	 6 	 55 	" 3,475 "	" 190,806 "								
GA	NEWTON	MANSFIELD	 small 	" 2,201 "	" 13,828 "	" 28,656 "	 11 	" 31,021 "	 21 	 15 	 8 	 5 	 6 	 55 	 960 	" 52,713 "								
IL	MARSHALL	VARNA	 small 	" 1,244 "	" 12,561 "	" 42,050 "	 27 	" 26,491 "	 18 	 18 	 7 	 5 	 6 	 55 	 686 	" 37,668 "								
OR	LINN	FOSTER	 small 	 616 	" 11,459 "	" 28,122 "	 70 	" 39,590 "	 26 	 11 	 8 	 5 	 5 	 55 	 261 	" 14,332 "								
GA	CHATHAM	POOLER	 small 	" 6,139 "	" 15,005 "	" 32,107 "	 -   	" 27,613 "	 19 	 16 	 8 	 6 	 6 	 55 	" 2,319 "	" 127,346 "								
ID	BEAR LAKE	GEORGETOWN	 small 	 610 	" 12,230 "	" 66,125 "	 6 	" 36,146 "	 23 	 13 	 9 	 5 	 5 	 55 	 228 	" 12,520 "								
KS	MARION	PEABODY	 small 	" 1,973 "	" 13,985 "	" 54,268 "	 -   	" 25,978 "	 17 	 21 	 8 	 5 	 5 	 55 	 831 	" 45,634 "								
MN	FREEBORN	GLENVILLE	 small 	" 2,137 "	" 11,334 "	" 42,895 "	 63 	" 30,724 "	 20 	 17 	 7 	 5 	 5 	 55 	 940 	" 51,620 "								
OH	HANCOCK	BENTON RIDGE	 small 	 315 	" 11,356 "	" 22,096 "	 100 	" 28,063 "	 19 	 16 	 8 	 6 	 6 	 55 	 122 	" 6,700 "								
IL	HENDERSON	LOMAX	 small 	 771 	" 12,541 "	" 62,578 "	 9 	" 28,892 "	 19 	 19 	 7 	 4 	 5 	 55 	 342 	" 18,782 "								
MO	GREENE	ASH GROVE	 small 	" 3,729 "	" 13,674 "	" 36,327 "	 5 	" 27,829 "	 19 	 19 	 8 	 5 	 5 	 55 	" 1,531 "	" 84,079 "								
OH	WILLIAMS	EDON	 small 	" 2,944 "	" 11,309 "	" 36,076 "	 110 	" 28,864 "	 19 	 16 	 8 	 5 	 6 	 55 	" 1,138 "	" 62,499 "								
IN	TIPTON	TIPTON	 small 	" 9,376 "	" 12,034 "	" 54,487 "	 34 	" 28,018 "	 19 	 17 	 7 	 5 	 6 	 55 	" 4,036 "	" 221,659 "								
KS	RUSH	MC CRACKEN	 small 	 364 	" 13,340 "	" 53,891 "	 -   	" 27,471 "	 18 	 20 	 6 	 5 	 5 	 55 	 220 	" 12,083 "								
MO	LAFAYETTE	CONCORDIA	 small 	" 3,536 "	" 14,183 "	" 44,855 "	 4 	" 26,118 "	 18 	 20 	 7 	 5 	 5 	 55 	" 1,480 "	" 81,284 "								
NE	CUSTER	ANSLEY	 small 	 797 	" 13,019 "	" 64,171 "	 -   	" 30,215 "	 20 	 19 	 7 	 4 	 5 	 55 	 380 	" 20,870 "								
ID	BINGHAM	FIRTH	 small 	" 2,400 "	" 10,807 "	" 38,834 "	 68 	" 36,169 "	 24 	 11 	 10 	 5 	 5 	 55 	 813 	" 44,652 "								
IA	BUENA VISTA	NEWELL	 small 	" 1,498 "	" 12,131 "	" 60,738 "	 19 	" 29,116 "	 19 	 18 	 8 	 5 	 5 	 55 	 615 	" 33,778 "								
MN	ROCK	BEAVER CREEK	 small 	 699 	" 10,746 "	" 20,853 "	 127 	" 31,220 "	 21 	 16 	 8 	 5 	 5 	 55 	 279 	" 15,324 "								
OH	WAYNE	SMITHVILLE	 small 	" 2,614 "	" 12,193 "	" 53,177 "	 74 	" 27,107 "	 18 	 18 	 8 	 5 	 6 	 55 	" 1,008 "	" 55,365 "								
WY	NATRONA	EVANSVILLE	 small 	" 1,165 "	" 10,788 "	" 37,447 "	 -   	" 35,491 "	 24 	 11 	 8 	 6 	 7 	 55 	 489 	" 26,861 "								
AL	JEFFERSON	GARDENDALE	 small 	" 13,484 "	" 14,437 "	" 36,269 "	 -   	" 29,380 "	 20 	 16 	 7 	 5 	 6 	 55 	" 5,711 "	" 313,704 "								
ID	BINGHAM	SPRINGFIELD	 small 	 149 	" 10,578 "	" 24,973 "	 -   	" 39,188 "	 26 	 10 	 9 	 5 	 6 	 55 	 60 	" 3,296 "								
TX	LYNN	WILSON	 small 	 811 	" 12,675 "	" 40,933 "	 -   	" 31,438 "	 20 	 17 	 8 	 5 	 5 	 55 	 321 	" 17,633 "								
TX	GREGG	WHITE OAK	 small 	" 5,925 "	" 12,263 "	" 30,597 "	 -   	" 28,802 "	 19 	 16 	 8 	 5 	 6 	 55 	" 2,204 "	" 121,067 "								
OK	PAWNEE	JENNINGS	 small 	" 2,030 "	" 13,017 "	" 28,376 "	 1 	" 32,367 "	 21 	 16 	 8 	 5 	 5 	 55 	 857 	" 47,076 "								
ID	FRANKLIN	DAYTON	 small 	 241 	" 11,389 "	" 24,048 "	 113 	" 35,364 "	 23 	 12 	 10 	 5 	 5 	 55 	 78 	" 4,285 "								
AL	ELMORE	COOSADA	 small 	" 1,009 "	" 15,829 "	" 36,636 "	 2 	" 27,505 "	 18 	 17 	 9 	 5 	 6 	 55 	 405 	" 22,247 "								
NE	GAGE	PICKRELL	 small 	 532 	" 11,954 "	" 25,669 "	 16 	" 32,434 "	 21 	 16 	 8 	 5 	 5 	 55 	 213 	" 11,701 "								
IA	HENRY	WAYLAND	 small 	" 1,691 "	" 12,068 "	" 51,193 "	 10 	" 29,425 "	 20 	 17 	 8 	 5 	 5 	 55 	 675 	" 37,082 "								
MA	FRANKLIN	NEW SALEM	 small 	 873 	" 8,073 "	" 21,364 "	 555 	" 31,035 "	 21 	 14 	 7 	 6 	 6 	 55 	 397 	" 21,810 "								
PA	ALLEGHENY	SOUTH PARK	 small 	" 11,458 "	" 12,409 "	" 68,538 "	 4 	" 23,968 "	 17 	 18 	 8 	 6 	 7 	 55 	" 4,467 "	" 245,412 "								
OH	ALLEN	CAIRO	 small 	 418 	" 14,173 "	" 78,001 "	 -   	" 25,896 "	 17 	 20 	 8 	 5 	 5 	 55 	 158 	" 8,681 "								
MN	WILKIN	ROTHSAY	 small 	" 1,214 "	" 10,096 "	" 14,490 "	 287 	" 30,795 "	 20 	 17 	 8 	 5 	 5 	 55 	 521 	" 28,624 "								
OH	MADISON	MOUNT STERLING	 small 	" 5,708 "	" 11,667 "	" 40,226 "	 65 	" 29,612 "	 20 	 16 	 8 	 5 	 6 	 55 	" 2,295 "	" 126,089 "								
OK	ELLIS	FARGO	 small 	 670 	" 14,374 "	" 39,075 "	 -   	" 30,837 "	 20 	 18 	 7 	 4 	 5 	 55 	 326 	" 17,911 "								
ME	PENOBSCOT	ORRINGTON	 small 	" 3,526 "	" 7,705 "	" 20,100 "	 719 	" 29,489 "	 20 	 16 	 8 	 5 	 6 	 55 	" 1,489 "	" 81,809 "								
IL	STARK	BRADFORD	 small 	" 1,470 "	" 12,382 "	" 57,894 "	 20 	" 27,450 "	 18 	 19 	 7 	 5 	 5 	 55 	 653 	" 35,878 "								
MO	SAINTE GENEVIEVE	BLOOMSDALE	 small 	" 2,769 "	" 12,071 "	" 24,168 "	 9 	" 29,298 "	 20 	 16 	 8 	 5 	 6 	 55 	" 1,112 "	" 61,098 "								
WV	MINGO	BORDERLAND	 small 	 105 	" 15,234 "	" 50,502 "	 82 	" 24,209 "	 17 	 20 	 8 	 5 	 6 	 55 	 43 	" 2,363 "								
FL	HILLSBOROUGH	VALRICO	 small 	" 47,721 "	" 14,320 "	" 17,011 "	 2 	" 26,650 "	 19 	 14 	 9 	 7 	 7 	 55 	" 17,471 "	" 959,952 "								
MO	RAY	HARDIN	 small 	" 1,066 "	" 11,598 "	" 25,772 "	 9 	" 31,026 "	 21 	 16 	 8 	 5 	 6 	 55 	 455 	" 25,001 "								
WI	TREMPEALEAU	GALESVILLE	 small 	" 3,556 "	" 10,289 "	" 43,223 "	 145 	" 29,797 "	 20 	 17 	 7 	 5 	 6 	 55 	" 1,513 "	" 83,145 "								
FL	PASCO	LAND O LAKES	 small 	" 19,205 "	" 13,662 "	" 16,019 "	 4 	" 30,268 "	 21 	 13 	 8 	 6 	 7 	 55 	" 7,294 "	" 400,836 "								
KS	MARSHALL	WATERVILLE	 small 	 960 	" 13,905 "	" 60,183 "	 -   	" 26,150 "	 17 	 21 	 7 	 4 	 5 	 55 	 446 	" 24,510 "								
KS	PRATT	IUKA	 small 	 321 	" 14,564 "	" 53,857 "	 -   	" 26,040 "	 17 	 21 	 7 	 4 	 5 	 55 	 139 	" 7,639 "								
IN	GREENE	SOLSBERRY	 small 	" 3,477 "	" 11,615 "	" 27,854 "	 19 	" 33,225 "	 22 	 15 	 8 	 5 	 6 	 55 	" 1,434 "	" 78,813 "								
MI	WAYNE	BELLEVILLE	 small 	" 39,076 "	" 11,346 "	" 66,497 "	 6 	" 25,595 "	 18 	 18 	 7 	 6 	 6 	 55 	" 16,793 "	" 922,955 "								
IL	MCDONOUGH	TENNESSEE	 small 	 303 	" 11,764 "	" 47,287 "	 17 	" 30,160 "	 20 	 18 	 7 	 5 	 5 	 55 	 140 	" 7,695 "								
IL	EDGAR	BROCTON	 small 	 646 	" 12,188 "	" 49,065 "	 25 	" 29,990 "	 20 	 18 	 7 	 5 	 5 	 55 	 299 	" 16,434 "								
IA	TAMA	GLADBROOK	 small 	" 1,721 "	" 11,315 "	" 52,166 "	 43 	" 29,828 "	 20 	 17 	 7 	 5 	 6 	 55 	 749 	" 41,170 "								
OH	LAKE	MADISON	 small 	" 19,073 "	" 12,425 "	" 56,403 "	 38 	" 26,030 "	 18 	 18 	 8 	 5 	 6 	 55 	" 7,598 "	" 417,636 "								
OK	POTTAWATOMIE	WANETTE	 small 	" 1,456 "	" 13,331 "	" 28,776 "	 2 	" 32,110 "	 21 	 16 	 8 	 5 	 5 	 55 	 627 	" 34,464 "								
MI	KALAMAZOO	PORTAGE	 small 	" 47,256 "	" 11,808 "	" 72,014 "	 11 	" 24,832 "	 17 	 18 	 7 	 6 	 6 	 55 	" 19,907 "	" 1,094,269 "								
OH	FRANKLIN	GROVE CITY	 small 	" 45,861 "	" 12,314 "	" 54,319 "	 26 	" 24,464 "	 17 	 17 	 8 	 6 	 7 	 55 	" 17,900 "	" 983,951 "								
IN	PORTER	PORTAGE	 small 	" 35,709 "	" 12,594 "	" 64,259 "	 1 	" 25,767 "	 18 	 18 	 8 	 6 	 6 	 55 	" 14,346 "	" 788,634 "								
NH	MERRIMACK	HILL	 small 	 992 	" 7,840 "	" 21,060 "	 570 	" 30,632 "	 21 	 15 	 8 	 6 	 6 	 55 	 436 	" 23,968 "								
ID	FRANKLIN	CLIFTON	 small 	 604 	" 11,584 "	" 24,861 "	 149 	" 35,191 "	 23 	 12 	 10 	 5 	 5 	 55 	 195 	" 10,720 "								
TX	TARRANT	CROWLEY	 small 	" 12,731 "	" 12,484 "	" 29,987 "	 1 	" 32,041 "	 22 	 13 	 8 	 6 	 6 	 55 	" 4,771 "	" 262,287 "								
WI	DOUGLAS	POPLAR	 small 	" 1,367 "	" 9,378 "	" 27,858 "	 81 	" 32,103 "	 21 	 14 	 8 	 5 	 6 	 55 	 501 	" 27,543 "								
WV	POCAHONTAS	SLATYFORK	 small 	 149 	" 14,285 "	" 24,258 "	 106 	" 22,743 "	 16 	 18 	 8 	 6 	 7 	 55 	 95 	" 5,223 "								
WV	BERKELEY	FALLING WATERS	 small 	" 7,043 "	" 12,256 "	" 23,697 "	 150 	" 28,222 "	 19 	 17 	 8 	 5 	 6 	 55 	" 2,937 "	" 161,469 "								
IL	STARK	TOULON	 small 	" 2,102 "	" 12,259 "	" 58,665 "	 35 	" 27,822 "	 19 	 19 	 7 	 5 	 5 	 55 	 902 	" 49,590 "								
MO	BOLLINGER	SEDGEWICKVILLE	 small 	" 1,072 "	" 12,033 "	" 24,520 "	 -   	" 31,326 "	 21 	 16 	 8 	 5 	 5 	 55 	 465 	" 25,565 "								
CA	LOS ANGELES	MANHATTAN BEACH	 small 	" 33,742 "	" 8,126 "	" 34,649 "	 -   	" 25,756 "	 20 	 8 	 7 	 9 	 11 	 55 	" 14,984 "	" 823,830 "								
IL	ADAMS	URSA	 small 	" 1,143 "	" 13,087 "	" 54,233 "	 4 	" 27,091 "	 18 	 19 	 8 	 5 	 5 	 55 	 536 	" 29,470 "								
IA	WEBSTER	GOWRIE	 small 	" 1,479 "	" 12,189 "	" 64,757 "	 6 	" 28,204 "	 19 	 18 	 7 	 5 	 5 	 55 	 639 	" 35,133 "								
OK	OKFUSKEE	PADEN	 small 	" 1,496 "	" 13,925 "	" 33,620 "	 8 	" 31,952 "	 21 	 17 	 8 	 4 	 5 	 55 	 623 	" 34,254 "								
NH	BELKNAP	NEW HAMPTON	 small 	" 1,117 "	" 7,880 "	" 20,616 "	 623 	" 29,359 "	 20 	 15 	 8 	 6 	 6 	 55 	 480 	" 26,392 "								
NE	CHEYENNE	LODGEPOLE	 small 	 799 	" 11,361 "	" 46,224 "	 22 	" 32,609 "	 21 	 18 	 7 	 4 	 5 	 55 	 410 	" 22,543 "								
TX	HILL	ABBOTT	 small 	" 1,015 "	" 13,620 "	" 29,213 "	 -   	" 33,351 "	 22 	 14 	 8 	 5 	 6 	 55 	 444 	" 24,413 "								
KS	MCPHERSON	MCPHERSON	 small 	" 15,987 "	" 13,213 "	" 56,375 "	 0 	" 24,382 "	 17 	 20 	 7 	 5 	 6 	 55 	" 6,454 "	" 354,867 "								
IA	WOODBURY	DANBURY	 small 	 927 	" 11,534 "	" 44,564 "	 105 	" 30,439 "	 20 	 18 	 7 	 5 	 5 	 55 	 407 	" 22,379 "								
MA	BRISTOL	EAST TAUNTON	 small 	" 6,726 "	" 8,498 "	" 41,824 "	 319 	" 30,069 "	 21 	 13 	 9 	 6 	 7 	 55 	" 2,388 "	" 131,306 "								
IL	JEFFERSON	WALTONVILLE	 small 	 911 	" 12,486 "	" 40,405 "	 -   	" 29,277 "	 19 	 18 	 8 	 5 	 5 	 55 	 390 	" 21,445 "								
SC	SPARTANBURG	MOORE	 small 	" 9,037 "	" 14,387 "	" 37,016 "	 31 	" 30,037 "	 20 	 14 	 8 	 6 	 7 	 55 	" 3,532 "	" 194,211 "								
GA	COLUMBIA	APPLING	 small 	" 5,177 "	" 12,950 "	" 27,756 "	 14 	" 29,266 "	 20 	 14 	 8 	 6 	 6 	 55 	" 2,143 "	" 117,836 "								
IL	MONTGOMERY	FARMERSVILLE	 small 	" 1,105 "	" 12,525 "	" 44,542 "	 9 	" 28,858 "	 19 	 18 	 7 	 5 	 5 	 55 	 488 	" 26,835 "								
MO	JASPER	ALBA	 small 	 652 	" 15,115 "	" 39,327 "	 -   	" 25,118 "	 16 	 21 	 9 	 5 	 5 	 55 	 225 	" 12,373 "								
VA	SHENANDOAH	EDINBURG	 small 	" 5,420 "	" 11,483 "	" 24,387 "	 217 	" 30,174 "	 20 	 17 	 7 	 5 	 6 	 55 	" 2,425 "	" 133,354 "								
TX	HARRIS	CROSBY	 small 	" 20,143 "	" 13,345 "	" 27,919 "	 -   	" 30,695 "	 21 	 13 	 8 	 6 	 6 	 55 	" 7,584 "	" 417,056 "								
OH	VAN WERT	MIDDLE POINT	 small 	" 1,238 "	" 11,932 "	" 43,244 "	 58 	" 29,878 "	 20 	 17 	 8 	 5 	 5 	 55 	 478 	" 26,286 "								
KS	BARTON	OLMITZ	 small 	 408 	" 12,528 "	" 48,186 "	 8 	" 29,164 "	 19 	 19 	 8 	 4 	 5 	 55 	 177 	" 9,734 "								
IN	DAVIESS	ODON	 small 	" 4,171 "	" 12,714 "	" 32,814 "	 49 	" 29,455 "	 20 	 16 	 9 	 5 	 5 	 55 	" 1,548 "	" 85,132 "								
WA	PIERCE	GIG HARBOR	 small 	" 45,340 "	" 12,780 "	" 38,642 "	 19 	" 31,403 "	 22 	 12 	 8 	 6 	 7 	 55 	" 17,805 "	" 979,197 "								
IN	DUBOIS	JASPER	 small 	" 19,567 "	" 13,142 "	" 44,867 "	 11 	" 27,194 "	 19 	 17 	 8 	 5 	 6 	 55 	" 7,851 "	" 431,772 "								
IL	FULTON	ASTORIA	 small 	" 1,998 "	" 12,664 "	" 61,686 "	 9 	" 29,382 "	 19 	 19 	 7 	 4 	 5 	 55 	 889 	" 48,892 "								
IN	MORGAN	MORGANTOWN	 small 	" 6,006 "	" 11,548 "	" 31,110 "	 31 	" 32,505 "	 22 	 15 	 8 	 5 	 6 	 55 	" 2,419 "	" 133,039 "								
OH	MIAMI	CONOVER	 small 	" 1,078 "	" 10,926 "	" 21,669 "	 158 	" 30,190 "	 20 	 16 	 8 	 5 	 6 	 55 	 409 	" 22,495 "								
NH	STRAFFORD	BARRINGTON	 small 	" 6,959 "	" 7,974 "	" 21,940 "	 538 	" 29,661 "	 20 	 14 	 8 	 6 	 7 	 55 	" 2,874 "	" 158,072 "								
VA	BEDFORD	MONTVALE	 small 	" 2,019 "	" 11,885 "	" 23,898 "	 148 	" 32,685 "	 21 	 16 	 7 	 5 	 5 	 55 	 874 	" 48,073 "								
AL	SHELBY	WILSONVILLE	 small 	" 3,870 "	" 13,867 "	" 26,263 "	 1 	" 31,865 "	 21 	 15 	 8 	 5 	 6 	 55 	" 1,702 "	" 93,618 "								
IN	CLARK	MARYSVILLE	 small 	" 1,414 "	" 11,550 "	" 22,454 "	 52 	" 32,925 "	 22 	 15 	 8 	 5 	 5 	 55 	 522 	" 28,714 "								
PA	DELAWARE	HAVERTOWN	 small 	" 36,300 "	" 12,527 "	" 64,916 "	 183 	" 22,748 "	 16 	 16 	 8 	 7 	 8 	 55 	" 13,515 "	" 743,434 "								
AL	BIBB	BRIERFIELD	 small 	" 1,488 "	" 13,935 "	" 26,896 "	 -   	" 32,353 "	 21 	 15 	 8 	 5 	 5 	 55 	 608 	" 33,445 "								
IN	GRANT	JONESBORO	 small 	" 3,411 "	" 12,181 "	" 56,763 "	 26 	" 29,343 "	 20 	 17 	 7 	 5 	 6 	 55 	" 1,431 "	" 78,717 "								
ME	LINCOLN	ALNA	 small 	 656 	" 7,776 "	" 20,020 "	 670 	" 30,630 "	 21 	 16 	 8 	 5 	 6 	 55 	 297 	" 16,338 "								
KS	JACKSON	SOLDIER	 small 	 613 	" 10,945 "	" 25,113 "	 5 	" 31,028 "	 21 	 16 	 9 	 5 	 5 	 55 	 247 	" 13,587 "								
IL	SCHUYLER	FREDERICK	 small 	 341 	" 11,820 "	" 43,578 "	 27 	" 29,582 "	 20 	 17 	 8 	 5 	 5 	 55 	 149 	" 8,197 "								
TX	HALE	COTTON CENTER	 small 	 174 	" 13,254 "	" 47,452 "	 -   	" 27,148 "	 18 	 18 	 9 	 5 	 5 	 55 	 78 	" 4,291 "								
NC	CRAVEN	ERNUL	 small 	 938 	" 12,643 "	" 25,051 "	 52 	" 35,427 "	 24 	 12 	 8 	 5 	 6 	 55 	 396 	" 21,785 "								
ME	YORK	NORTH WATERBORO	 small 	" 2,869 "	" 8,433 "	" 20,405 "	 682 	" 27,300 "	 18 	 16 	 9 	 6 	 6 	 55 	" 1,307 "	" 71,901 "								
IL	SCOTT	WINCHESTER	 small 	" 3,281 "	" 12,466 "	" 50,748 "	 8 	" 29,128 "	 19 	 18 	 7 	 5 	 5 	 55 	" 1,449 "	" 79,713 "								
PA	BUTLER	PETROLIA	 small 	" 1,625 "	" 12,570 "	" 65,713 "	 92 	" 26,446 "	 18 	 19 	 8 	 5 	 5 	 55 	 634 	" 34,879 "								
IA	POTTAWATTAMIE	MACEDONIA	 small 	 543 	" 12,425 "	" 54,404 "	 14 	" 29,945 "	 20 	 18 	 8 	 5 	 5 	 55 	 218 	" 11,993 "								
MN	KANABEC	OGILVIE	 small 	" 3,013 "	" 9,960 "	" 28,258 "	 57 	" 32,713 "	 22 	 14 	 8 	 5 	 6 	 55 	" 1,235 "	" 67,944 "								
KS	CLARK	ASHLAND	 small 	" 1,249 "	" 14,524 "	" 58,627 "	 -   	" 25,084 "	 17 	 21 	 7 	 5 	 5 	 55 	 590 	" 32,460 "								
VA	NELSON	SCHUYLER	 small 	" 1,271 "	" 11,509 "	" 24,084 "	 186 	" 32,174 "	 21 	 16 	 8 	 5 	 5 	 55 	 552 	" 30,371 "								
WV	TAYLOR	SIMPSON	 small 	 75 	" 17,595 "	" 53,614 "	 -   	" 25,132 "	 17 	 21 	 7 	 5 	 5 	 55 	 33 	" 1,816 "								
OH	TRUMBULL	NORTH BLOOMFIELD	 small 	" 2,115 "	" 11,058 "	" 25,871 "	 221 	" 27,868 "	 19 	 17 	 9 	 5 	 6 	 55 	 780 	" 42,918 "								
KY	WARREN	WOODBURN	 small 	" 1,360 "	" 16,150 "	" 35,966 "	 -   	" 28,129 "	 19 	 17 	 8 	 5 	 6 	 55 	 541 	" 29,769 "								
OH	SANDUSKY	GIBSONBURG	 small 	" 4,530 "	" 12,372 "	" 55,117 "	 18 	" 27,110 "	 18 	 17 	 8 	 5 	 6 	 55 	" 1,766 "	" 97,177 "								
IL	RICHLAND	DUNDAS	 small 	 716 	" 12,421 "	" 43,108 "	 -   	" 30,132 "	 20 	 18 	 8 	 5 	 5 	 55 	 278 	" 15,298 "								
OH	MERCER	COLDWATER	 small 	" 6,302 "	" 12,202 "	" 51,324 "	 47 	" 26,065 "	 18 	 17 	 9 	 5 	 6 	 55 	" 2,262 "	" 124,476 "								
NJ	MORRIS	LINCOLN PARK	 small 	" 10,938 "	" 10,161 "	" 74,091 "	 84 	" 25,274 "	 18 	 14 	 8 	 7 	 8 	 55 	" 4,113 "	" 226,341 "								
KS	LANE	DIGHTON	 small 	" 1,773 "	" 13,863 "	" 57,800 "	 -   	" 26,291 "	 18 	 21 	 7 	 5 	 5 	 55 	 881 	" 48,483 "								
WI	DODGE	RANDOLPH	 small 	" 3,313 "	" 10,837 "	" 52,625 "	 79 	" 27,858 "	 19 	 17 	 8 	 5 	 6 	 55 	" 1,338 "	" 73,634 "								
GA	WILKINSON	ALLENTOWN	 small 	 220 	" 13,512 "	" 29,139 "	 -   	" 32,622 "	 22 	 15 	 7 	 5 	 6 	 55 	 105 	" 5,778 "								
NE	YORK	MC COOL JUNCTION	 small 	 678 	" 12,241 "	" 24,786 "	 40 	" 31,957 "	 21 	 16 	 8 	 5 	 5 	 55 	 304 	" 16,731 "								
MT	HILL	HINGHAM	 small 	 281 	" 11,084 "	" 65,301 "	 31 	" 36,169 "	 24 	 13 	 8 	 5 	 6 	 55 	 143 	" 7,870 "								
LA	TERREBONNE	BOURG	 small 	" 4,780 "	" 17,738 "	" 29,998 "	 -   	" 29,855 "	 20 	 15 	 9 	 5 	 6 	 55 	" 1,646 "	" 90,589 "								
NE	SHERMAN	ROCKVILLE	 small 	 258 	" 10,817 "	" 23,509 "	 24 	" 36,222 "	 24 	 15 	 7 	 5 	 5 	 55 	 122 	" 6,714 "								
MO	MARION	MAYWOOD	 small 	 869 	" 11,684 "	" 26,191 "	 2 	" 31,535 "	 21 	 16 	 8 	 5 	 5 	 55 	 347 	" 19,098 "								
OK	TEXAS	HARDESTY	 small 	 541 	" 14,252 "	" 42,540 "	 -   	" 30,821 "	 20 	 18 	 8 	 4 	 5 	 55 	 251 	" 13,814 "								
WI	POLK	DRESSER	 small 	" 2,082 "	" 10,334 "	" 39,581 "	 83 	" 30,053 "	 20 	 16 	 8 	 5 	 6 	 55 	 897 	" 49,369 "								
MD	SAINT MARYS	CALIFORNIA	 small 	" 6,139 "	" 12,025 "	" 28,713 "	 173 	" 28,809 "	 20 	 13 	 7 	 6 	 8 	 55 	" 2,632 "	" 144,864 "								
MA	WORCESTER	WEST BOYLSTON	 small 	" 6,226 "	" 7,762 "	" 35,504 "	 553 	" 27,652 "	 19 	 15 	 8 	 6 	 7 	 55 	" 2,436 "	" 134,076 "								
OH	TUSCARAWAS	STONE CREEK	 small 	 883 	" 11,555 "	" 34,506 "	 169 	" 29,134 "	 19 	 17 	 8 	 5 	 5 	 55 	 349 	" 19,210 "								
MI	WAYNE	ROMULUS	 small 	" 29,937 "	" 11,661 "	" 76,676 "	 5 	" 24,354 "	 17 	 19 	 8 	 5 	 6 	 55 	" 11,660 "	" 641,816 "								
PA	CENTRE	JULIAN	 small 	" 2,773 "	" 9,992 "	" 21,688 "	 420 	" 27,659 "	 19 	 18 	 8 	 5 	 6 	 55 	" 1,153 "	" 63,466 "								
NY	ROCKLAND	VALLEY COTTAGE	 small 	" 9,381 "	" 9,519 "	" 70,979 "	 23 	" 27,705 "	 20 	 11 	 8 	 7 	 9 	 55 	" 3,455 "	" 190,180 "								
